filename,control_under_test,variant,expected_finding
aaa_config_01.txt,aaa_config,1/5 - 'aaa new-model' missing,"'aaa new-model' command absent, disabling the entire AAA subsystem"
aaa_config_02.txt,aaa_config,2/5 - All AAA accounting commands missing,No 'aaa accounting' commands present; administrative actions are not logged
aaa_config_03.txt,aaa_config,3/5 - Mismatched TACACS group name on one AAA line,'aaa authorization exec' references group 'ACME_TACACS_GROUP' instead of 'ACME_TACACS_SERVER_GROUP' used elsewhere
aaa_config_04.txt,aaa_config,4/5 - Missing local fallback on authentication login,'aaa authentication login default' lacks the 'local' fallback method
aaa_config_05.txt,aaa_config,5/5 - Wrong privilege level on authorization commands line (0 vs 1),'aaa authorization commands' uses privilege level 0 instead of the required level 1
acl_vty_config_01.txt,acl_vty_config,1/5 - VTY management ACL entirely absent,'ip access-list extended ACME_VTY_MGMT_ACL' not defined anywhere in config
acl_vty_config_02.txt,acl_vty_config,2/5 - ACL defined but never applied to VTY lines,"'access-class ACME_VTY_MGMT_ACL in' missing under 'line vty', so the ACL is never enforced"
acl_vty_config_03.txt,acl_vty_config,3/5 - ACL name typo at definition ('ACME_VTY_MGT_ACL'),"ACL defined as 'ACME_VTY_MGT_ACL' but referenced elsewhere as 'ACME_VTY_MGMT_ACL', so the applied ACL does not exist"
acl_vty_config_04.txt,acl_vty_config,4/5 - ACL has no explicit deny/log statement (relies on implicit deny),"ACL lacks an explicit 'deny ip any any log' entry, reducing audit traceability"
acl_vty_config_05.txt,acl_vty_config,5/5 - ACL source not restricted (equivalent to 'any' via wildcard mask),"ACL permits from wildcard '0.0.0.0 255.255.255.255' — functionally identical to unrestricted 'any' source, defeating the purpose of the management ACL"
banner_config_01.txt,banner_config,1/5 - Banner MOTD entirely absent,No 'banner motd' configured on the device at all
banner_config_02.txt,banner_config,2/5 - Banner content lacks required legal/monitoring language,"Banner text is a generic greeting ('Welcome!') with no authorized-access or monitoring notice, failing corporate policy review"
banner_config_03.txt,banner_config,"3/5 - Mismatched banner delimiter characters ('$' opening, '%' closing)","Banner delimiters do not match ('$' then '%'), producing a malformed/incomplete banner"
banner_config_04.txt,banner_config,4/5 - Banner references incorrect company name,Banner text references 'OtherCorp' instead of the client's actual company name
banner_config_05.txt,banner_config,5/5 - Wrong banner type used ('banner login' instead of 'banner motd'),Configuration defines 'banner login' rather than the required 'banner motd'
domain_config_01.txt,domain,1/5 - Domain command entirely absent,'ip domain name' command missing from configuration
domain_config_02.txt,domain,2/5 - Domain name does not match client (wrong company),Domain 'othercorp.net' does not match assigned company domain 'acme.com'
domain_config_03.txt,domain,3/5 - Legacy/incorrect command form ('domain-name' vs 'domain name'),Uses deprecated 'ip domain-name' syntax instead of 'ip domain name'
domain_config_04.txt,domain,4/5 - Subtle typo in domain name,Domain 'acem.com' is a typo of the assigned 'acme.com'
domain_config_05.txt,domain,5/5 - Wrong top-level domain (.org instead of .com),Domain uses '.org' instead of the assigned '.com' TLD
emergency_user_config_01.txt,emergency_user_config,1/5 - Emergency local user entirely absent,No 'admin_bckp' (or equivalent) emergency username configured
emergency_user_config_02.txt,emergency_user_config,2/5 - Emergency user privilege level too low (7 instead of 15),Emergency account 'admin_bckp' has privilege 7 instead of the required 15
emergency_user_config_03.txt,emergency_user_config,3/5 - Weaker hashing algorithm used (md5 instead of scrypt),Emergency account uses 'algorithm-type md5' instead of the required 'scrypt'
emergency_user_config_04.txt,emergency_user_config,4/5 - Emergency username spelled inconsistently ('admin_bkup'),Emergency account named 'admin_bkup' instead of the standard 'admin_bckp'
emergency_user_config_05.txt,emergency_user_config,5/5 - Missing 'algorithm-type scrypt' keyword,"Emergency user command omits 'algorithm-type scrypt', defaulting to weaker hashing"
hostname_config_01.txt,hostname,1/5 - Generic device name (no convention at all),"Hostname is a generic term ('Router'), violates naming convention entirely"
hostname_config_02.txt,hostname,2/5 - Missing function/site/device-number fields,"Hostname omits Function, Site and Device number fields"
hostname_config_03.txt,hostname,3/5 - Wrong separator (dashes instead of underscores),Name parts separated by '-' instead of the required '_'
hostname_config_04.txt,hostname,4/5 - Invalid type token ('Router' instead of 'RT'),Type field uses the full word 'Router' rather than the 2-letter code 'RT'
hostname_config_05.txt,hostname,5/5 - Device number not zero-padded ('1' vs '01'),Device number field is '1' instead of the expected two-digit '01'
local_admin_config_01.txt,local_admin_config,1/5 - 'enable secret' missing entirely,No 'enable secret' configured; privileged EXEC mode is unsecured
local_admin_config_02.txt,local_admin_config,2/5 - Local admin account not privilege 15 (set to 1),'username admin' configured with privilege 1 instead of the required 15
local_admin_config_03.txt,local_admin_config,3/5 - Enable secret uses a weak/short value,"'enable secret' set to a short, weak value ('1234') that would fail complexity checks"
local_admin_config_04.txt,local_admin_config,4/5 - Legacy 'enable password' used instead of 'enable secret',"'enable password' (weak, reversible Type-7 at best) used instead of 'enable secret' (MD5/stronger hash)"
local_admin_config_05.txt,local_admin_config,5/5 - Local admin username non-standard ('administrator' vs 'admin'),Local admin account named 'administrator' instead of the documented standard 'admin'
