device,control_id,title,severity,status,finding,owner,ticket,due_date
aaa_config_01,control_00003,AAA,High,FAIL,Required AAA command missing (expected to match '^aaa authentication login default group \S+ local').,,,
aaa_config_02,control_00003,AAA,High,FAIL,Required AAA command missing (expected to match '^aaa authentication enable default group \S+ enable').,,,
aaa_config_03,control_00003,AAA,High,FAIL,Required AAA command missing (expected to match '^aaa authorization config-commands').,,,
aaa_config_04,control_00003,AAA,High,FAIL,Required AAA command missing (expected to match '^aaa authorization exec default group \S+ local if-authenticated').,,,
aaa_config_05,control_00003,AAA,High,FAIL,Required AAA command missing (expected to match '^aaa accounting commands 15 default start-stop group \S+').,,,
acl_vty_config_01,control_00008,ACL for VTY,High,FAIL,"ACL 'ACME_VTY_MGMT_ACL' rule #1: expected 'deny ip any 173.245.48.0 0.0.15.255', found 'deny ip any 103.21.244.0 0.0.3.255'.",,,
acl_vty_config_02,control_00008,ACL for VTY,High,FAIL,"ACL 'ACME_VTY_MGMT_ACL' rule #2: expected 'deny ip any 103.21.244.0 0.0.3.255', found 'deny ip any 103.21.244.0 0.0.255.255'.",,,
acl_vty_config_03,control_00008,ACL for VTY,High,FAIL,"ACL 'ACME_VTY_MGMT_ACL' rule #16: expected 'permit tcp any any eq 22', found 'permit tcp any any eq 23'.",,,
acl_vty_config_04,control_00008,ACL for VTY,High,FAIL,"ACL 'ACME_VTY_MGMT_ACL' rule #17: expected 'permit tcp any eq 22 any', found 'deny ip any any log'.",,,
acl_vty_config_05,control_00008,ACL for VTY,High,FAIL,"ACL 'ACME_VTY_MGMT_ACL' rule #18: expected 'deny ip any any log', found 'nothing (ACL ends early)'.",,,
domain_config_02,control_00006,SSH,High,FAIL,IP domain-name is not configured.,,,
hostname_config_02,control_00006,SSH,High,FAIL,Hostname is not configured.,,,
local_enable_config_01,control_00015,Local user and enable secret,High,FAIL,Local administrator with privilege 15 is not created.,,,
local_enable_config_02,control_00005,Local and emergency users,High,FAIL,No 'enable secret' command found in device configuration.,,,
local_enable_config_02,control_00015,Local user and enable secret,High,FAIL,Enable secret is missing.,,,
local_enable_config_03,control_00015,Local user and enable secret,High,FAIL,"Local administrator 'admin': privilege level is '1', expected 15.",,,
local_enable_config_04,control_00015,Local user and enable secret,High,FAIL,Local administrator username 'administrator' does not match the corporate standard 'admin'.,,,
local_enable_config_05,control_00005,Local and emergency users,High,FAIL,No 'enable secret' command found in device configuration.,,,
local_enable_config_05,control_00015,Local user and enable secret,High,FAIL,Enable secret is missing.,,,
local_user_config_01,control_00005,Local and emergency users,High,FAIL,Emergency user name 'admin_backup' does not match the corporate standard 'admin_bckp'.,,,
local_user_config_02,control_00005,Local and emergency users,High,FAIL,No local emergency user with 'algorithm-type scrypt' found.,,,
local_user_config_03,control_00005,Local and emergency users,High,FAIL,"Emergency user 'admin_bckp': privilege level is '1', expected 15.",,,
local_user_config_04,control_00005,Local and emergency users,High,FAIL,No local emergency user with 'algorithm-type scrypt' found.,,,
local_user_config_04,control_00015,Local user and enable secret,High,FAIL,Local administrator username 'admin_bckp' does not match the corporate standard 'admin'.,,,
password_encryption_config_02,control_00007,Global password encryption,High,FAIL,'key config-key password-encrypt <device_master_key>' is missing.,,,
password_encryption_config_03,control_00007,Global password encryption,High,FAIL,'password encryption aes' is missing.,,,
password_encryption_config_04,control_00007,Global password encryption,High,FAIL,'key config-key password-encrypt' uses a weak/guessable master key value.,,,
password_encryption_config_05,control_00007,Global password encryption,High,FAIL,'key config-key password-encrypt <device_master_key>' is missing.,,,
passwords_config_01,control_00013,Passwords,High,FAIL,"'security passwords min-length' is set to 8, below the required minimum of 10.",,,
passwords_config_02,control_00013,Passwords,High,FAIL,'security passwords min-length' is not configured.,,,
passwords_config_03,control_00013,Passwords,High,FAIL,'service password-encryption' is missing.,,,
passwords_config_04,control_00013,Passwords,High,FAIL,'service password-encryption' is missing.,,,
passwords_config_05,control_00013,Passwords,High,FAIL,"'security passwords min-length' is set to 1, below the required minimum of 10.",,,
snmp_config_01,control_00011,SNMP,High,FAIL,"'snmp-server user' references group 'acme_snmp_grp01', which has no matching 'snmp-server group acme_snmp_grp01 v3 priv' definition.; SNMP group 'acme_snmp_grp02' does not match the corporate group 'acme_snmp_grp01'.",,,
snmp_config_02,control_00011,SNMP,High,FAIL,SNMP trap host '40.40.40.200' does not match the corporate host '40.40.40.100'.,,,
snmp_config_03,control_00011,SNMP,High,FAIL,SNMP trap host is missing.,,,
snmp_config_04,control_00011,SNMP,High,FAIL,'snmp-server enable traps' command is missing.,,,
snmp_config_05,control_00011,SNMP,High,FAIL,SNMPv3 user is not created with SHA/AES configuration.,,,
ssh_config_02,control_00006,SSH,High,FAIL,'crypto key generate rsa modulus <bits>' is missing - SSH cannot function without it.,,,
ssh_config_03,control_00006,SSH,High,FAIL,"'ip ssh version' is set to '1', expected '2' per corporate standard.",,,
ssh_config_04,control_00006,SSH,High,FAIL,"'ip ssh time-out' is set to '120', expected '60' per corporate standard.",,,
ssh_config_05,control_00006,SSH,High,FAIL,"'ip ssh authentication-retries' is set to '5', expected '3' per corporate standard.",,,
tacacs_config_01,control_00004,TACACS,High,FAIL,'tacacs server ACME_TACACS_01': address '192.168.100.201' does not match the corporate TACACS server address '192.168.100.101'.,,,
tacacs_config_02,control_00004,TACACS,High,FAIL,'tacacs server ACME_TACACS_02': address '192.168.100.202' does not match the corporate TACACS server address '192.168.100.102'.,,,
